revenue_energy,revenue_fcas,capacity_payment,cost_degradation,imbalance_penalty,prediction_penalty
40425.31287217709,10812.297583565896,18769.089617483172,297.55564288105137,1287.4627133287875,0.0
40722.41310566232,11224.934525273413,19034.896515097997,307.19569545721265,1112.8613533518462,0.0
40555.56997792735,11107.013364087421,18966.560746239727,300.4061820026893,1171.4012493671507,0.0
40541.767228457495,11015.802578774517,18744.895831652586,304.13328360193896,1023.9563489871869,0.0
40395.27188664823,10873.307465152038,18847.401595746152,294.93166670112464,1415.418054144778,0.0
40545.47503894592,10986.546132154028,18830.422836499358,301.13345808479824,1214.5650106678224,0.0
40577.95482632237,11124.664623015982,19048.205533883407,301.8454282661272,1185.7175942906326,0.0
40651.73442118066,11086.00046831969,18944.497550825974,304.3715103847627,1096.610386734352,0.0
40677.16264439754,11175.543730694615,19124.383561643837,304.8474974085232,1335.8483374594537,0.0
40627.537831063026,10908.27779202631,18584.60478291907,304.7728873023066,1248.5474272228948,0.0
40650.72583296097,11135.390825227585,18759.482558458447,307.45910041271026,1036.1630355194109,0.0
40661.52593966674,11116.482515541751,18899.62424251222,306.6146704387187,1361.1016047722976,0.0
40550.76471017923,11071.059845794378,18952.707433556,299.98121393389033,1055.1077262424508,0.0
40578.23785044858,11175.023423137793,19124.383561643837,302.70883231922824,1193.5722341566561,0.0
40674.59320599967,11202.535815201152,18891.553459394654,305.9538106926912,1063.9880302815989,0.0
40785.95719535046,11233.640223077893,19115.192014783792,308.40269280655474,1259.9042047644252,0.0
40558.65612509335,10938.665771816299,18840.444127556148,301.00495020802845,902.852483795571,0.0
40888.66321430742,11280.259891150512,19124.383561643837,312.82470027185275,1064.2748964152668,0.0
40584.155434586886,10971.026995657492,18771.311317133608,304.6815646752105,1227.4480275372598,0.0
40710.144542796595,11127.693358305034,18906.851494385308,306.7560896761358,1253.8298059834906,0.0
40792.87542798398,11026.2554280055,18715.349082955785,313.0777903755161,1147.4142040138274,0.0
40825.907367190135,11323.424483452744,19113.030712070376,311.63748115294214,1163.6121115009007,0.0
40902.83094494152,11250.151164153658,19068.435673596232,313.9199302037409,1161.4217951820974,0.0
40842.64953407746,11098.076236008337,18858.931484671994,311.82593725636724,1203.7346384660343,0.0
40702.61900861847,11121.271710924597,18894.93568664092,305.77283664848983,1559.7821021535187,0.0
40835.73775640131,11233.144207258796,18846.454343509275,314.70472559615456,1414.9488913122275,0.0
40811.17416746845,11195.4083663197,19020.032502704158,310.93819856448863,1342.7550201823622,0.0
40885.60469126735,11153.619240409216,19057.117803550536,312.35634509534185,1336.6626651254655,0.0
40792.8504165699,11110.791235280209,18835.191784371684,312.4782648690685,1543.491895389186,0.0
40968.560614019654,11344.29668474887,19094.354819178498,316.4017900009647,1048.7225816395244,0.0
40698.89976127323,11132.473220438425,19124.383561643837,305.97370460851266,1469.5822245085258,0.0
40913.546443741856,11280.445112995294,19100.04589957291,315.32655131521284,1130.590475274381,0.0
40945.925625753385,11232.691381637522,18983.338868479233,316.7328734234404,981.5184747230634,0.0
