energy,reg_up,reg_dn,reserve
0.7855871590741481,0.0,7.605932207371468,0.0
0.6864353817152751,0.0,7.605932207371468,0.0
0.7627059796836386,0.0,7.605932207371468,0.0
1.081627669773694,0.0,7.662710709434618,0.0
2.918950667151666,0.0,8.221129942541996,0.0
7.130874802909203,0.0,9.460777806940369,0.0
10.0,0.0,10.379226995349105,0.0
10.0,0.0,10.646850962075424,0.0
10.0,0.0,10.753282411917706,0.0
10.0,0.0,10.798487657660539,0.0
10.0,0.0,10.77550895595446,0.0
10.0,0.0,10.198382565663529,0.0
10.0,0.0,3.43904363052628,0.0
10.0,0.0,8.553887629441547,0.0
1.4044426351347228,0.0,7.633646938220419,0.0
0.9874758451832967,0.0,7.605932207371468,0.0
0.9184268320808235,0.0,7.616077218844693,0.0
0.8837188429413092,0.0,7.605932207371468,0.0
1.0578626369688626,0.0,7.661841739399982,0.0
0.9909006745265547,0.0,7.642744484666648,0.0
0.9426688426462586,0.0,7.605932207371468,0.0
0.8008412786678207,0.0,7.605932207371468,0.0
0.7932142188709844,0.0,7.605932207371468,0.0
0.8542306972456752,0.0,7.605932207371468,0.0
0.8953810118797546,0.0,7.6320060093959965,0.0
0.8495058688958527,0.0,7.605932207371468,0.0
1.0341726825894828,0.0,7.655338567096508,0.0
1.115130914433536,0.0,7.677931645542953,0.0
1.926520302549411,0.0,7.915954076812327,0.0
9.194992188525811,0.0,9.91225930831971,0.0
10.0,0.0,10.934509673993757,0.0
10.0,0.0,10.970738031916483,0.0
10.0,0.0,11.107615342690348,0.0
10.0,0.0,10.987589212791438,0.0
10.0,0.0,4.058812804787335,0.0
10.0,0.0,3.3900783222343254,0.0
10.0,0.0,2.691996800619125,0.0
10.0,0.0,5.602747528785726,0.0
2.6184285284821445,0.0,7.622352607035809,0.0
1.1970704137356813,0.0,7.605932207371468,0.0
0.7612862053363264,0.0,7.626503292265187,0.0
0.8259503065523195,0.0,7.605932207371468,0.0
1.0723228914983207,0.0,7.643417010491815,0.0
0.9209817557162884,0.0,7.640790299267444,0.0
0.7662014716765408,0.0,7.605932207371468,0.0
0.8751198263481088,0.0,7.607622710224096,0.0
0.9993669044144659,0.0,7.605932207371468,0.0
0.8389765776520025,0.0,7.605932207371468,0.0
0.8160953982614935,0.0,7.605932207371468,0.0
0.884738936433021,0.0,7.605932207371468,0.0
0.8466036374488389,0.0,7.605932207371468,0.0
1.5254579445833052,0.0,7.786707320121298,0.0
2.891116705388032,0.0,8.224962100394743,0.0
8.365854940337192,0.0,9.848459670830799,0.0
10.0,0.0,10.98424553006144,0.0
10.0,0.0,11.169271758183994,0.0
10.0,0.0,11.1922584373199,0.0
10.0,0.0,3.543633874600843,0.0
10.0,0.0,3.397263422333833,0.0
10.0,0.0,3.469742645927722,0.0
10.0,0.0,2.780762801927767,0.0
10.0,0.0,3.8645753198737403,0.0
2.890679185833519,0.0,7.613865191517179,0.0
0.781395838541158,0.0,7.605932207371468,0.0
0.8339131498142505,0.0,7.608989414898244,0.0
0.8201743054766322,0.0,7.605932207371468,0.0
0.8744651894100661,0.0,7.6284728627076275,0.0
